,PROCESS_DATE,SCID,PORTFOLIO,ESTIMATE_TO_ACTUAL
2082,2020-02-19,UX52,VCEP Total Equity Select,0
2083,2020-06-11,GR73,Target Retirement 2065 Trust,0
2084,2019-11-18,AZ74,VCEP Total International Bond Pool Standard,0
2085,2020-01-27,RP13,VVIF - Conservative Allocation,0
2086,2019-10-18,IW95,VCEP Pacific Stock,0
2087,2020-04-08,OW53,VCEP Total International Stock,0
2088,2020-05-13,GL58,Institutional Target Retirement 2055,0
2089,2019-05-02,RA76,Target Retirement 2035,0
2090,2019-02-11,NL73,STAR,0
2091,2020-08-10,UH89,VCEP Wellington Pool Select,0
2092,2020-01-28,AZ74,VCEP Total International Bond Pool Standard,0
2093,2020-04-08,MS84,VCEP ESG International Stock Pool Select,0
2094,2019-11-11,JS33,VCEP Balanced Pool Standard,0
2095,2019-05-30,CF14,LifeStrategy Conservative Growth,0
2096,2019-08-12,AR74,Target Retirement 2020,0
2097,2019-01-17,LF34,VCEP Income Pool Standard,0
2098,2019-11-04,LS11,VCEP Total Equity,0
2099,2020-03-31,OM24,Target Retirement Income,0
2100,2019-07-29,JI82,Target Retirement 2040 Trust,0
2101,2019-07-05,LS11,VCEP Total Equity,0
2102,2019-11-29,BU54,Target Retirement 2035 Trust,0
2103,2019-10-04,NR67,VCEP Conservative Growth,0
2104,2019-01-16,ZM95,VCEP Total US Stock Select,0
2105,2019-12-23,NQ34,VCEP ESG International Stock Pool Standard,0
2106,2019-09-12,DR43,LifeStrategy Income,0
2107,2019-08-08,NR67,VCEP Conservative Growth,0
2108,2020-05-06,NR67,VCEP Conservative Growth,0
2109,2019-04-12,MI13,VCEP Money Market Select,0
2110,2020-02-14,AY24,VCEP Short-Term Bond Select,0
2111,2019-12-20,LF34,VCEP Income Pool Standard,0
2112,2020-02-18,CF48,Target Retirement 2050,0
2113,2020-10-08,GP68,VCEP Emerging Markets Stock,0
2114,2019-12-24,FO91,VCEP Growth Select,0
2115,2020-10-05,AY24,VCEP Short-Term Bond Select,0
2116,2019-12-27,PK73,Target Retirement 2045,0
2117,2019-03-07,CF48,Target Retirement 2050,0
2118,2019-10-21,CX21,VCEP Money Market,0
2119,2020-03-05,GH72,Institutional Target Retirement 2035,0
2120,2020-05-01,PK73,Target Retirement 2045,0
2121,2020-03-18,LS11,VCEP Total Equity,0
2122,2019-06-14,GH33,Institutional Target Retirement 2030,0
2123,2019-09-25,TP59,VCEP Moderate Growth Select,0
2124,2019-08-12,AY24,VCEP Short-Term Bond Select,0
2125,2019-04-01,BZ66,VCEP Conservative Growth Select,0
2126,2019-10-25,GO58,Institutional Target Retirement 2065,0
2127,2019-07-17,GO52,Institutional Target Retirement 2060,0
2128,2019-01-30,XQ97,VVIF - Global Bond Index Portfolio,0
2129,2020-05-13,AY24,VCEP Short-Term Bond Select,0
2130,2020-09-24,KC47,VCEP Wellington Pool Standard,0
2131,2020-07-02,GO58,Institutional Target Retirement 2065,0
2132,2020-07-20,DR43,LifeStrategy Income,0
2133,2020-06-09,GI46,Institutional Target Retirement 2050,0
2134,2019-07-16,PJ33,Target Retirement 2015 Trust,0
2135,2020-01-02,GH86,Institutional Target Retirement 2040,0
2136,2020-01-21,LB27,Managed Payout,0
2137,2020-01-10,OM24,Target Retirement Income,0
2138,2019-11-01,GP68,VCEP Emerging Markets Stock,0
2139,2019-06-19,IS98,VVIF - Total Stock Market Index,0
2140,2020-10-01,CF48,Target Retirement 2050,0
2141,2020-01-09,NQ34,VCEP ESG International Stock Pool Standard,0
2142,2019-02-11,MK83,VCEP Total Bond Select,0
2143,2020-07-28,MS84,VCEP ESG International Stock Pool Select,0
2144,2019-08-16,CF14,LifeStrategy Conservative Growth,0
2145,2019-07-12,ZS87,Target Retirement 2055,0
2146,2019-04-09,CE55,VCEP Emerging Markets Stock Select,0
2147,2019-07-15,FF72,VCEP Moderate Growth,0
2148,2020-05-06,ZM95,VCEP Total US Stock Select,0
2149,2019-03-25,WJ68,LifeStrategy Moderate Growth,0
2150,2020-08-26,ES45,Target Retirement 2060,0
2151,2019-10-09,MS84,VCEP ESG International Stock Pool Select,0
2152,2019-06-28,ZZ55,Target Retirement 2050 Trust,0
2153,2019-03-19,WO29,VCEP ESG Global Stock Pool Standard,0
2154,2020-03-23,GQ39,Target Retirement 2065,0
2155,2020-09-17,VX99,VCEP Pacific Stock Select,0
2156,2019-04-26,VX99,VCEP Pacific Stock Select,0
2157,2020-03-31,UH89,VCEP Wellington Pool Select,0
2158,2019-05-28,GI25,Institutional Target Retirement 2045,0
2159,2019-09-05,NQ34,VCEP ESG International Stock Pool Standard,0
2160,2020-05-29,IW95,VCEP Pacific Stock,0
2161,2020-06-24,GP68,VCEP Emerging Markets Stock,0
2162,2020-05-08,GH86,Institutional Target Retirement 2040,0
2163,2019-12-05,IQ22,VCEP European Stock,0
2164,2020-02-05,KN63,VCEP ESG U.S. Stock Pool,0
2165,2020-06-17,GP68,VCEP Emerging Markets Stock,0
2166,2020-03-24,BA68,Target Retirement 2025 Trust,0
2167,2019-06-05,XQ97,VVIF - Global Bond Index Portfolio,0
2168,2020-09-09,FF72,VCEP Moderate Growth,0
2169,2020-05-19,PK73,Target Retirement 2045,0
2170,2020-07-01,MI13,VCEP Money Market Select,0
2171,2020-03-11,GQ39,Target Retirement 2065,0
2172,2020-02-21,GD89,Institutional Target Retirement 2015,0
2173,2020-09-11,RP13,VVIF - Conservative Allocation,0
2174,2020-01-06,TN68,VCEP Total Bond,0
2175,2020-05-29,HB83,VCEP Total US Stock,0
2176,2019-11-08,IW95,VCEP Pacific Stock,0
2177,2020-01-21,EZ71,Target Retirement 2015,0
2178,2020-04-24,EZ71,Target Retirement 2015,0
2179,2020-09-10,AY24,VCEP Short-Term Bond Select,0
2180,2020-07-09,IS98,VVIF - Total Stock Market Index,0
2181,2020-08-31,GI25,Institutional Target Retirement 2045,0
2182,2019-08-08,GI25,Institutional Target Retirement 2045,0
2183,2020-05-04,GH33,Institutional Target Retirement 2030,0
2184,2020-05-01,VX99,VCEP Pacific Stock Select,0
2185,2020-07-02,ES45,Target Retirement 2060,0
2186,2020-09-28,GH86,Institutional Target Retirement 2040,0
2187,2019-06-06,GO58,Institutional Target Retirement 2065,0
2188,2020-07-07,GT42,Diversified Equity,0
2189,2019-12-02,NQ34,VCEP ESG International Stock Pool Standard,0
2190,2020-03-30,LF34,VCEP Income Pool Standard,0
2191,2019-02-26,GV13,Target Retirement 2020 Trust,0
2192,2019-08-28,AR74,Target Retirement 2020,0
2193,2019-06-12,MI13,VCEP Money Market Select,0
2194,2020-06-18,ZL62,VCEP Total International Stock Select,0
2195,2019-08-27,GD89,Institutional Target Retirement 2015,0
2196,2020-07-30,UH89,VCEP Wellington Pool Select,0
2197,2020-06-16,PK73,Target Retirement 2045,0
2198,2020-10-05,GP68,VCEP Emerging Markets Stock,0
2199,2019-02-15,AR74,Target Retirement 2020,0
2200,2019-11-14,TP59,VCEP Moderate Growth Select,0
2201,2019-11-07,RP13,VVIF - Conservative Allocation,0
2202,2019-06-17,KC47,VCEP Wellington Pool Standard,0
2203,2019-06-10,ZZ55,Target Retirement 2050 Trust,0
2204,2020-04-16,GP48,Institutional Target Retirement Income,0
2205,2019-07-18,OR28,VCEP ESG Global Stock Pool Select,0
2206,2019-03-08,PK73,Target Retirement 2045,0
2207,2019-12-27,GX91,Target Retirement 2060 Trust,0
2208,2019-10-14,RK97,VCEP Growth,0
2209,2019-12-17,LF34,VCEP Income Pool Standard,0
2210,2020-09-08,GH33,Institutional Target Retirement 2030,0
2211,2019-03-11,ZL62,VCEP Total International Stock Select,0
2212,2019-04-03,HB83,VCEP Total US Stock,0
2213,2020-08-26,GI46,Institutional Target Retirement 2050,0
2214,2019-10-04,JI82,Target Retirement 2040 Trust,0
2215,2019-05-23,JS33,VCEP Balanced Pool Standard,0
2216,2020-03-12,NR67,VCEP Conservative Growth,0
2217,2019-08-12,GX91,Target Retirement 2060 Trust,0
2218,2019-03-29,GP68,VCEP Emerging Markets Stock,0
2219,2020-02-19,NR67,VCEP Conservative Growth,0
2220,2020-01-31,VX99,VCEP Pacific Stock Select,0
2221,2019-10-09,EZ71,Target Retirement 2015,0
2222,2019-06-28,LS11,VCEP Total Equity,0
2223,2019-07-25,MK83,VCEP Total Bond Select,0
2224,2019-11-08,BJ34,Target Retirement 2045 Trust,0
2225,2019-10-01,OM24,Target Retirement Income,0
2226,2019-01-23,GP48,Institutional Target Retirement Income,0
2227,2019-04-22,KC47,VCEP Wellington Pool Standard,0
2228,2020-03-26,XC71,VVIF - Moderate Allocation Portfolio,0
2229,2020-06-30,CF14,LifeStrategy Conservative Growth,0
2230,2019-05-03,ZL62,VCEP Total International Stock Select,0
2231,2020-07-21,RK97,VCEP Growth,0
2232,2019-08-28,VX99,VCEP Pacific Stock Select,0
2233,2020-09-02,GI25,Institutional Target Retirement 2045,0
2234,2019-03-13,ZD97,VCEP Total International Bond Pool Select,0
2235,2020-02-21,VG84,Target Retirement 2025,0
2236,2019-10-17,NL73,STAR,0
2237,2019-04-25,RA76,Target Retirement 2035,0
2238,2019-02-26,KN63,VCEP ESG U.S. Stock Pool,0
2239,2019-04-24,RK97,VCEP Growth,0
2240,2019-03-12,GH33,Institutional Target Retirement 2030,0
2241,2019-10-07,FF72,VCEP Moderate Growth,0
2242,2019-07-24,GR73,Target Retirement 2065 Trust,0
2243,2019-09-23,CE55,VCEP Emerging Markets Stock Select,0
2244,2020-02-07,WQ15,LifeStrategy Growth,0
2245,2020-03-25,MK83,VCEP Total Bond Select,0
2246,2019-06-13,IS98,VVIF - Total Stock Market Index,0
2247,2019-06-24,BX99,VCEP European Stock Select,0
2248,2020-10-01,BZ66,VCEP Conservative Growth Select,0
2249,2020-04-03,RP13,VVIF - Conservative Allocation,0
2250,2019-12-09,MK83,VCEP Total Bond Select,0
2251,2020-07-31,RP13,VVIF - Conservative Allocation,0
2252,2019-04-02,ES45,Target Retirement 2060,0
2253,2019-04-15,ID15,VCEP Income Pool Select,0
2254,2019-02-01,DR43,LifeStrategy Income,0
2255,2019-12-26,BA68,Target Retirement 2025 Trust,0
2256,2020-06-18,MS84,VCEP ESG International Stock Pool Select,0
2257,2019-12-05,OM24,Target Retirement Income,0
2258,2019-01-29,AY24,VCEP Short-Term Bond Select,0
2259,2020-07-17,CX21,VCEP Money Market,0
2260,2020-06-30,GH72,Institutional Target Retirement 2035,0
2261,2020-05-18,DT81,Target Retirement 2040,0
2262,2019-08-02,CF48,Target Retirement 2050,0
2263,2019-06-21,ZM95,VCEP Total US Stock Select,0
2264,2020-01-16,EZ71,Target Retirement 2015,0
2265,2020-10-14,GP48,Institutional Target Retirement Income,0
2266,2020-09-22,GV13,Target Retirement 2020 Trust,0
2267,2019-01-29,RV91,Target Retirement Income Trust,0
2268,2019-05-08,LF34,VCEP Income Pool Standard,0
2269,2020-03-17,XQ97,VVIF - Global Bond Index Portfolio,0
2270,2019-07-23,NL73,STAR,0
2271,2019-08-20,ID15,VCEP Income Pool Select,0
2272,2020-07-20,JS33,VCEP Balanced Pool Standard,0
2273,2019-12-10,MS87,VCEP ESG U.S. Stock Pool Select,0
2274,2020-04-23,FF72,VCEP Moderate Growth,0
2275,2019-05-09,GI25,Institutional Target Retirement 2045,0
2276,2019-06-21,IW95,VCEP Pacific Stock,0
2277,2020-09-11,CF48,Target Retirement 2050,0
2278,2019-11-29,OM24,Target Retirement Income,0
2279,2019-06-14,ZL62,VCEP Total International Stock Select,0
2280,2020-10-15,NL73,STAR,0
2281,2020-03-16,GD89,Institutional Target Retirement 2015,0
2282,2019-10-30,ZL62,VCEP Total International Stock Select,0
2283,2020-04-28,XQ97,VVIF - Global Bond Index Portfolio,0
2284,2020-06-01,UX52,VCEP Total Equity Select,0
2285,2019-05-15,MS87,VCEP ESG U.S. Stock Pool Select,0
2286,2019-08-20,ZL62,VCEP Total International Stock Select,0
2287,2019-05-29,MI13,VCEP Money Market Select,0
2288,2019-07-29,DT81,Target Retirement 2040,0
2289,2019-05-06,CE55,VCEP Emerging Markets Stock Select,0
2290,2019-02-06,BX99,VCEP European Stock Select,0
2291,2020-05-08,DT81,Target Retirement 2040,0
2292,2019-01-29,NQ34,VCEP ESG International Stock Pool Standard,0
2293,2020-09-03,XQ97,VVIF - Global Bond Index Portfolio,0
2294,2019-09-30,VG84,Target Retirement 2025,0
2295,2020-06-18,IS98,VVIF - Total Stock Market Index,0
2296,2020-04-06,OM24,Target Retirement Income,0
2297,2020-02-03,LB27,Managed Payout,0
2298,2020-05-21,NR67,VCEP Conservative Growth,0
2299,2019-07-12,ZL62,VCEP Total International Stock Select,0
2300,2019-02-19,NL73,STAR,0
2301,2019-05-24,GL58,Institutional Target Retirement 2055,0
2302,2019-09-17,ZL62,VCEP Total International Stock Select,0
2303,2019-04-02,DR43,LifeStrategy Income,0
2304,2020-06-18,AY24,VCEP Short-Term Bond Select,0
2305,2019-03-15,EZ71,Target Retirement 2015,0
2306,2020-04-03,GH86,Institutional Target Retirement 2040,0
2307,2020-04-30,GP68,VCEP Emerging Markets Stock,0
2308,2019-02-22,WJ68,LifeStrategy Moderate Growth,0
2309,2020-02-21,MK83,VCEP Total Bond Select,0
2310,2019-01-29,ZS87,Target Retirement 2055,0
2311,2020-07-06,MI13,VCEP Money Market Select,0
2312,2020-04-20,LS11,VCEP Total Equity,0
2313,2019-09-20,AY24,VCEP Short-Term Bond Select,0
2314,2019-08-22,LB27,Managed Payout,0
2315,2020-07-17,MI13,VCEP Money Market Select,0
2316,2020-05-26,NR67,VCEP Conservative Growth,0
2317,2020-08-13,ID15,VCEP Income Pool Select,0
2318,2019-12-09,NQ34,VCEP ESG International Stock Pool Standard,0
2319,2019-02-11,ID15,VCEP Income Pool Select,0
2320,2020-04-24,VG84,Target Retirement 2025,0
2321,2019-10-01,JS33,VCEP Balanced Pool Standard,0
2322,2019-07-22,GH86,Institutional Target Retirement 2040,0
2323,2019-05-17,GR73,Target Retirement 2065 Trust,0
2324,2019-05-08,GP48,Institutional Target Retirement Income,0
2325,2019-11-19,IQ22,VCEP European Stock,0
2326,2020-05-14,GT42,Diversified Equity,0
2327,2019-10-07,DT81,Target Retirement 2040,0
2328,2020-03-27,HB83,VCEP Total US Stock,0
2329,2020-09-16,OK18,VCEP Short-Term Bond,0
2330,2019-05-01,FF72,VCEP Moderate Growth,0
2331,2019-09-06,GH33,Institutional Target Retirement 2030,0
2332,2020-02-05,CF14,LifeStrategy Conservative Growth,0
2333,2020-02-27,NL73,STAR,0
2334,2020-03-16,RV91,Target Retirement Income Trust,0
2335,2020-02-12,VX99,VCEP Pacific Stock Select,0
2336,2020-05-01,CX21,VCEP Money Market,0
2337,2019-03-01,IS98,VVIF - Total Stock Market Index,0
2338,2019-04-08,WQ15,LifeStrategy Growth,0
2339,2019-12-10,KC47,VCEP Wellington Pool Standard,0
2340,2020-08-27,GH72,Institutional Target Retirement 2035,0
2341,2020-04-09,CX21,VCEP Money Market,0
2342,2019-10-28,TP59,VCEP Moderate Growth Select,0
2343,2019-10-16,TN68,VCEP Total Bond,0
2344,2020-04-23,PK73,Target Retirement 2045,0
2345,2020-09-18,OK18,VCEP Short-Term Bond,0
2346,2020-06-23,NR67,VCEP Conservative Growth,0
2347,2019-05-28,FO91,VCEP Growth Select,0
2348,2020-07-17,GF52,Institutional Target Retirement 2020,0
2349,2019-04-03,AY24,VCEP Short-Term Bond Select,0
2350,2019-12-30,JS33,VCEP Balanced Pool Standard,0
2351,2019-12-11,JS33,VCEP Balanced Pool Standard,0
2352,2019-12-24,GV13,Target Retirement 2020 Trust,0
2353,2020-07-13,VX99,VCEP Pacific Stock Select,0
2354,2020-04-06,XQ97,VVIF - Global Bond Index Portfolio,0
2355,2019-03-01,GH33,Institutional Target Retirement 2030,0
2356,2020-10-08,NQ34,VCEP ESG International Stock Pool Standard,0
2357,2020-08-06,RK97,VCEP Growth,0
2358,2019-12-31,BJ34,Target Retirement 2045 Trust,0
2359,2019-11-04,NQ34,VCEP ESG International Stock Pool Standard,0
2360,2019-08-26,ZZ55,Target Retirement 2050 Trust,0
2361,2020-09-03,PK73,Target Retirement 2045,0
2362,2019-06-10,GP48,Institutional Target Retirement Income,0
2363,2020-04-02,VX99,VCEP Pacific Stock Select,0
2364,2019-06-20,DR43,LifeStrategy Income,0
2365,2019-02-22,AY24,VCEP Short-Term Bond Select,0
2366,2019-11-04,MI13,VCEP Money Market Select,0
2367,2020-09-28,MK83,VCEP Total Bond Select,0
2368,2019-06-12,AR74,Target Retirement 2020,0
2369,2019-05-15,OM24,Target Retirement Income,0
2370,2019-11-07,NR67,VCEP Conservative Growth,0
2371,2020-02-03,GH72,Institutional Target Retirement 2035,0
2372,2020-07-15,BJ34,Target Retirement 2045 Trust,0
2373,2020-03-05,BZ66,VCEP Conservative Growth Select,0
2374,2020-07-31,LB27,Managed Payout,0
2375,2019-09-05,OW53,VCEP Total International Stock,0
2376,2019-05-10,AY24,VCEP Short-Term Bond Select,0
2377,2019-10-30,GR73,Target Retirement 2065 Trust,0
2378,2020-02-03,PJ33,Target Retirement 2015 Trust,0
2379,2019-12-24,BJ34,Target Retirement 2045 Trust,0
2380,2020-01-24,AZ74,VCEP Total International Bond Pool Standard,0
2381,2019-06-26,DT81,Target Retirement 2040,0
2382,2019-03-19,GO52,Institutional Target Retirement 2060,0
2383,2020-10-13,ZZ55,Target Retirement 2050 Trust,0
2384,2020-04-27,GT42,Diversified Equity,0
2385,2019-10-21,MS84,VCEP ESG International Stock Pool Select,0
2386,2019-08-28,NL73,STAR,0
2387,2019-11-26,MI13,VCEP Money Market Select,0
2388,2019-01-31,GD89,Institutional Target Retirement 2015,0
2389,2019-06-26,OM24,Target Retirement Income,0
2390,2020-03-26,RV91,Target Retirement Income Trust,0
2391,2019-08-16,RV91,Target Retirement Income Trust,0
2392,2020-09-02,NQ34,VCEP ESG International Stock Pool Standard,0
2393,2020-01-16,HB83,VCEP Total US Stock,0
2394,2019-03-22,HB83,VCEP Total US Stock,0
2395,2020-03-23,GD89,Institutional Target Retirement 2015,0
2396,2020-04-22,FF72,VCEP Moderate Growth,0
2397,2019-12-27,GP48,Institutional Target Retirement Income,0
2398,2020-02-24,ZM95,VCEP Total US Stock Select,0
2399,2019-10-28,GX91,Target Retirement 2060 Trust,0
2400,2020-08-27,UX52,VCEP Total Equity Select,0
2401,2019-11-06,PJ33,Target Retirement 2015 Trust,0
2402,2019-11-14,MK83,VCEP Total Bond Select,0
2403,2019-10-03,NL73,STAR,0
2404,2020-05-08,PJ82,Target Retirement 2030 Trust,0
2405,2019-10-31,NL73,STAR,0
2406,2020-03-10,CF48,Target Retirement 2050,0
2407,2019-02-22,UX52,VCEP Total Equity Select,0
2408,2019-10-03,LF34,VCEP Income Pool Standard,0
2409,2019-04-17,GR73,Target Retirement 2065 Trust,0
2410,2020-03-02,BX99,VCEP European Stock Select,0
2411,2020-06-26,LF34,VCEP Income Pool Standard,0
2412,2019-11-07,ID15,VCEP Income Pool Select,0
2413,2019-11-26,IS98,VVIF - Total Stock Market Index,0
2414,2019-11-19,ID15,VCEP Income Pool Select,0
2415,2019-08-27,EZ71,Target Retirement 2015,0
2416,2020-08-14,VG84,Target Retirement 2025,0
2417,2019-05-31,GL58,Institutional Target Retirement 2055,0
2418,2019-12-18,FF72,VCEP Moderate Growth,0
2419,2019-02-27,JI82,Target Retirement 2040 Trust,0
2420,2020-08-10,KN63,VCEP ESG U.S. Stock Pool,0
2421,2019-02-15,BX99,VCEP European Stock Select,0
2422,2019-01-31,CF48,Target Retirement 2050,0
2423,2020-06-25,GH86,Institutional Target Retirement 2040,0
2424,2019-03-14,RP13,VVIF - Conservative Allocation,0
2425,2019-07-02,HB83,VCEP Total US Stock,0
2426,2020-10-07,GO52,Institutional Target Retirement 2060,0
2427,2020-08-26,FO91,VCEP Growth Select,0
2428,2019-07-29,GH72,Institutional Target Retirement 2035,0
2429,2020-04-09,NL73,STAR,0
2430,2019-08-01,KN63,VCEP ESG U.S. Stock Pool,0
2431,2020-02-06,MK83,VCEP Total Bond Select,0
2432,2019-10-17,VX99,VCEP Pacific Stock Select,0
2433,2019-09-27,CF14,LifeStrategy Conservative Growth,0
2434,2019-06-05,PJ82,Target Retirement 2030 Trust,0
2435,2019-12-10,GQ39,Target Retirement 2065,0
2436,2019-03-18,MS87,VCEP ESG U.S. Stock Pool Select,0
2437,2020-10-02,KN63,VCEP ESG U.S. Stock Pool,0
2438,2019-07-17,PK73,Target Retirement 2045,0
2439,2019-02-12,GP48,Institutional Target Retirement Income,0
2440,2019-05-06,EZ71,Target Retirement 2015,0
2441,2020-05-20,DT81,Target Retirement 2040,0
2442,2019-12-03,GH86,Institutional Target Retirement 2040,0
2443,2020-07-10,PJ33,Target Retirement 2015 Trust,0
2444,2020-09-25,MI13,VCEP Money Market Select,0
2445,2019-09-26,MI13,VCEP Money Market Select,0
2446,2020-08-14,OK18,VCEP Short-Term Bond,0
2447,2019-06-05,NR67,VCEP Conservative Growth,0
2448,2019-07-25,CE55,VCEP Emerging Markets Stock Select,0
2449,2019-10-02,OW53,VCEP Total International Stock,0
2450,2019-07-09,GT42,Diversified Equity,0
2451,2019-02-06,ZL62,VCEP Total International Stock Select,0
2452,2019-11-20,LB27,Managed Payout,0
2453,2019-11-26,GP68,VCEP Emerging Markets Stock,0
2454,2020-03-03,CF48,Target Retirement 2050,0
2455,2020-08-04,GF52,Institutional Target Retirement 2020,0
2456,2020-06-16,DT81,Target Retirement 2040,0
2457,2019-07-22,MS87,VCEP ESG U.S. Stock Pool Select,0
2458,2019-11-15,PJ82,Target Retirement 2030 Trust,0
2459,2019-03-13,CE55,VCEP Emerging Markets Stock Select,0
2460,2020-02-03,MS84,VCEP ESG International Stock Pool Select,0
2461,2019-10-04,RA76,Target Retirement 2035,0
2462,2020-09-16,GO58,Institutional Target Retirement 2065,0
2463,2019-05-29,GF79,Institutional Target Retirement 2025,0
2464,2019-11-08,UX52,VCEP Total Equity Select,0
2465,2019-11-14,RA76,Target Retirement 2035,0
2466,2019-11-22,GF79,Institutional Target Retirement 2025,0
2467,2019-07-26,VG84,Target Retirement 2025,0
2468,2019-09-25,GX91,Target Retirement 2060 Trust,0
2469,2020-10-12,JI82,Target Retirement 2040 Trust,0
2470,2020-05-01,GQ39,Target Retirement 2065,0
2471,2019-10-09,ZS87,Target Retirement 2055,0
2472,2019-11-04,AZ74,VCEP Total International Bond Pool Standard,0
2473,2020-01-13,GT42,Diversified Equity,0
2474,2019-05-01,CE55,VCEP Emerging Markets Stock Select,0
2475,2020-02-04,CF14,LifeStrategy Conservative Growth,0
2476,2019-12-06,JS33,VCEP Balanced Pool Standard,0
2477,2019-10-30,BA68,Target Retirement 2025 Trust,0
2478,2020-02-25,SC81,Target Retirement 2030,0
2479,2020-01-21,ES45,Target Retirement 2060,0
2480,2019-07-19,MK83,VCEP Total Bond Select,0
2481,2019-12-27,WJ68,LifeStrategy Moderate Growth,0
2482,2019-04-26,ZS87,Target Retirement 2055,0
2483,2020-06-18,VG84,Target Retirement 2025,0
2484,2019-08-27,WO29,VCEP ESG Global Stock Pool Standard,0
2485,2019-07-29,DR43,LifeStrategy Income,0
2486,2019-08-26,GO52,Institutional Target Retirement 2060,0
2487,2019-09-20,OM24,Target Retirement Income,0
2488,2020-09-18,KN63,VCEP ESG U.S. Stock Pool,0
2489,2020-03-30,XQ97,VVIF - Global Bond Index Portfolio,0
2490,2019-01-31,CX21,VCEP Money Market,0
2491,2020-07-07,GI25,Institutional Target Retirement 2045,0
2492,2020-05-22,GQ39,Target Retirement 2065,0
2493,2019-04-08,BA68,Target Retirement 2025 Trust,0
2494,2020-03-06,OK18,VCEP Short-Term Bond,0
2495,2019-06-11,GO52,Institutional Target Retirement 2060,0
2496,2019-05-06,OK18,VCEP Short-Term Bond,0
2497,2019-12-02,GF52,Institutional Target Retirement 2020,0
2498,2019-12-18,GI46,Institutional Target Retirement 2050,0
2499,2019-09-13,GI46,Institutional Target Retirement 2050,0
2500,2020-04-24,GO52,Institutional Target Retirement 2060,0
2501,2020-04-03,CF48,Target Retirement 2050,0
2502,2020-03-26,ZL62,VCEP Total International Stock Select,0
2503,2019-03-18,AZ74,VCEP Total International Bond Pool Standard,0
2504,2020-03-03,PK73,Target Retirement 2045,0
2505,2020-07-24,SC81,Target Retirement 2030,0
2506,2019-11-20,GO52,Institutional Target Retirement 2060,0
2507,2020-01-16,KN63,VCEP ESG U.S. Stock Pool,0
2508,2020-07-16,FF72,VCEP Moderate Growth,0
2509,2019-11-25,NR67,VCEP Conservative Growth,0
2510,2020-05-21,BJ34,Target Retirement 2045 Trust,0
2511,2020-10-02,LB27,Managed Payout,0
2512,2019-05-17,RA76,Target Retirement 2035,0
2513,2020-10-01,AR74,Target Retirement 2020,0
2514,2020-06-02,AZ74,VCEP Total International Bond Pool Standard,0
2515,2019-06-11,TP59,VCEP Moderate Growth Select,0
2516,2019-10-25,TN68,VCEP Total Bond,0
2517,2019-04-25,DR43,LifeStrategy Income,0
2518,2019-08-15,IQ22,VCEP European Stock,0
2519,2019-07-16,ZM95,VCEP Total US Stock Select,0
2520,2019-11-08,KD51,VVIF - Total International Stock Market Index,0
2521,2019-12-04,VG84,Target Retirement 2025,0
2522,2020-04-28,BA68,Target Retirement 2025 Trust,0
2523,2019-12-04,ZS87,Target Retirement 2055,0
2524,2020-02-21,GO52,Institutional Target Retirement 2060,0
2525,2019-01-16,BA68,Target Retirement 2025 Trust,0
2526,2020-04-15,LF34,VCEP Income Pool Standard,0
2527,2019-08-19,ZM95,VCEP Total US Stock Select,0
2528,2019-03-21,GR73,Target Retirement 2065 Trust,0
2529,2020-10-02,WJ68,LifeStrategy Moderate Growth,0
2530,2019-03-05,VD43,Target Retirement 2055 Trust,0
2531,2020-02-10,WO29,VCEP ESG Global Stock Pool Standard,0
2532,2019-03-19,MS87,VCEP ESG U.S. Stock Pool Select,0
2533,2019-05-23,ZL62,VCEP Total International Stock Select,0
2534,2020-04-20,CF48,Target Retirement 2050,0
2535,2019-09-10,CX21,VCEP Money Market,0
2536,2019-04-23,KN63,VCEP ESG U.S. Stock Pool,0
2537,2020-09-03,GH72,Institutional Target Retirement 2035,0
2538,2019-09-30,NQ34,VCEP ESG International Stock Pool Standard,0
2539,2019-10-03,GF52,Institutional Target Retirement 2020,0
2540,2020-02-03,VG84,Target Retirement 2025,0
2541,2019-05-24,AZ74,VCEP Total International Bond Pool Standard,0
2542,2019-11-01,GF79,Institutional Target Retirement 2025,0
2543,2019-05-17,BU54,Target Retirement 2035 Trust,0
2544,2020-07-20,SC81,Target Retirement 2030,0
2545,2020-10-02,IQ22,VCEP European Stock,0
2546,2019-10-24,VX99,VCEP Pacific Stock Select,0
2547,2019-07-10,BA68,Target Retirement 2025 Trust,0
2548,2019-06-11,LF34,VCEP Income Pool Standard,0
2549,2019-10-28,WQ15,LifeStrategy Growth,0
2550,2020-09-22,TN68,VCEP Total Bond,0
2551,2020-02-25,BX99,VCEP European Stock Select,0
2552,2020-09-03,BX99,VCEP European Stock Select,0
2553,2020-09-25,ZS87,Target Retirement 2055,0
2554,2020-05-19,UH89,VCEP Wellington Pool Select,0
2555,2019-02-06,OK18,VCEP Short-Term Bond,0
2556,2019-09-16,CE55,VCEP Emerging Markets Stock Select,0
2557,2020-08-14,LB27,Managed Payout,0
2558,2020-09-15,AR74,Target Retirement 2020,0
2559,2019-08-30,PJ33,Target Retirement 2015 Trust,0
2560,2019-03-25,GI46,Institutional Target Retirement 2050,0
2561,2020-02-24,GX91,Target Retirement 2060 Trust,0
2562,2020-09-30,MK83,VCEP Total Bond Select,0
2563,2019-09-18,RK97,VCEP Growth,0
